term_name,description,field_authority_link,field_location_of_meeting,field_num_of_section_or_meet,field_primary_name,,field_subordinate_name,,field_unique_id
"Carnegie Institute of Washington, D.C.",,,,,"Carnegie Institute of Washington, D.C.",,,,95614160-8e11-49a2-8739-e291289729ad
Carrère & Hastings,,http://id.loc.gov/authorities/names/nr90002315|||lcnaf|http://viaf.org/viaf/267787115|||viaf,,,Carrère & Hastings,,,,6ab3bdb8-75b3-48d9-97c0-5e9f47b95d53
Carruther's Studio,"Location information: San Jose, CA|basic_html|Location information: San Jose, CA",,,,Carruther's Studio,,,,0c825095-c282-4752-81c7-a759c260256d
Cassini (Spacecraft),,http://viaf.org/viaf/159837654|||viaf|http://id.loc.gov/authorities/names/no2010034240|||lcnaf,,,Cassini (Spacecraft),,,,c11f4670-fd40-4226-a482-8a7c14f39e84
Centers for Disease Control and Prevention (U.S.),,http://viaf.org/viaf/139950776|||viaf|http://id.loc.gov/authorities/names/no93011529|||lcnaf,,,Centers for Disease Control and Prevention (U.S.),,,,28528346-299b-4da2-9ac9-8ae922472163
Century,,,,,Century,,,,d095da3e-6506-4682-932e-a46a2bc5f688
Challenger (Spacecraft),,http://viaf.org/viaf/170078796|||viaf|http://id.loc.gov/authorities/names/n83155337|||lcnaf,,,Challenger (Spacecraft),,,,76f003b0-1e9b-4fb7-901b-9ba40bddf0bftid
Charles & Polly,"Location information: Harrisonburg, VA|basic_html|Location information: Harrisonburg, VA",,,,Charles & Polly,,,,0bafd7f2-2b65-40d5-80de-74da0a59dd39
Charlotte Engraving Co.,"Location information: Charlotte, NC|basic_html|Location information: Charlotte, NC",,,,Charlotte Engraving Co.,,,,b6b45fa4-7a10-4152-89e0-8afbba67bd92
"Chase, Ltd.","Location information: Washington, DC|basic_html|Location information: Washington, DC",,,,"Chase, Ltd.",,,,0013a7ab-5504-4f6a-afa1-3ffd67394279
Chesapeake Bay Institute,,http://viaf.org/viaf/136033025|||viaf|http://id.loc.gov/authorities/names/n79125730|||lcnaf,,,Chesapeake Bay Institute,,,,4698c49c-843b-4c90-91b2-bbf189c51d6d
Chesapeake Bay Program (U.S.),,http://viaf.org/viaf/148463290|||viaf|http://id.loc.gov/authorities/names/no98080295|||lcnaf,,,Chesapeake Bay Program (U.S.),,,,0bac3916-7297-4131-a06f-16007312edde
Chesapeake Troubadors,,,,,Chesapeake Troubadors,,,,76e1b1b7-174c-44b5-8640-eee0fda0d835
Cheyne's Studio,"Location information: Hampton, VA|basic_html|Location information: Hampton, VA",,,,Cheyne's Studio,,,,a02b3af0-dfa5-4de2-a55a-6eccfcc27e8e
Chicago Photographers,"Location information: Chicago, IL|basic_html|Location information: Chicago, IL",,,,Chicago Photographers,,,,5401c49a-a84b-4155-882e-aa4e0ad0addc
Chicago Tribune (Firm),,http://viaf.org/viaf/143602955|||viaf,,,Chicago Tribune (Firm),,,,48037787-ade3-4719-946b-5ad5fe400636
Child Studio,"Location information: Davenport, IA|basic_html|Location information: Davenport, IA",,,,Child Studio,,,,c4b4b6b2-d24c-4af2-bad2-5e3bd6050ce7
Children of God (Organization),,http://viaf.org/viaf/143326162|||viaf|http://id.loc.gov/authorities/names/nb2007026829|||lcnaf,,,Children of God (Organization),,,,9985e84c-3486-4178-9564-53f9f418aa5a
Christhilf Studio,"Location information: 21 W. Lexington St., Baltimore, MD|basic_html|Location information: 21 W. Lexington St., Baltimore, MD",,,,Christhilf Studio,,,,653040e0-2315-4553-ad6f-3ddcfef49643
Christian Bible College of Baton Rouge,,,,,Christian Bible College of Baton Rouge,,,,fb0d833f-a4fc-43d9-a5a9-b63b03e3ba8c
"Clark University (Worcester, Mass.)",,http://viaf.org/viaf/159337591|||viaf|http://id.loc.gov/authorities/names/n80020290|||lcnaf,,,"Clark University (Worcester, Mass.)",,,,e5cd6c18-62e9-4a9f-a380-d8f874d8fbc9
Clinedinst Studio,"Location information: Washington, DC|basic_html|Location information: Washington, DC",,,,Clinedinst Studio,,,,75f7765e-de91-4ade-8a58-46790917d689
Columbia (Spacecraft),,http://viaf.org/viaf/155895964|||viaf|http://id.loc.gov/authorities/names/n81116268|||lcnaf,,,Columbia (Spacecraft),,,,89c14efb-d3da-4f0e-a075-0e1dc986733a
Columbia University,,http://viaf.org/viaf/156836332|||viaf|http://id.loc.gov/authorities/names/n81024714|||lcnaf,,,Columbia University,,,,237079eb-895d-434a-8402-e0b70ede229b
Converge Studios,Location information: New York|basic_html|Location information: New York,,,,Converge Studios,,,,add8d831-80d5-41ce-8638-4d820bd74284
Converse Studios,,,,,Converse Studios,,,,b29e120b-4a16-455a-ab60-9d2befa1e4ec
Conway Studio,"Location information: New York City, NY|basic_html|Location information: New York City, NY",,,,Conway Studio,,,,132e8c28-58ac-4eab-a030-96d86c1b0eaf
Cook and Welch,,http://viaf.org/viaf/254625739|||viaf,,,Cook and Welch,,,,43b048d7-aa84-494c-9023-220cf189940f
Coreystone-Stoller Corp.,,,,,Coreystone-Stoller Corp.,,,,4cf7beab-0b26-4cb8-b9a0-89415cfd4228
Corinne Studio,"Location information: Bloomington, IL|basic_html|Location information: Bloomington, IL",,,,Corinne Studio,,,,fd61db9a-4534-46b7-bcfd-21f1bb8ce827
Cosmo Photographers,,,,,Cosmo Photographers,,,,4abfd27c-f3c4-4e70-9881-46afa0443b8a
COSPAR,,http://viaf.org/viaf/150890832|||viaf|http://id.loc.gov/authorities/names/n79043333|||lcnaf,,,COSPAR,,,,82ebb0a9-0207-4428-8c16-66a4b921df8b
Covington & Burling,,http://viaf.org/viaf/124423873|||viaf|http://id.loc.gov/authorities/names/n86841506|||lcnaf,,,Covington & Burling,,,,0146ba96-1510-4260-90c8-097fc5ad52b3
Cronhardt & Sons,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",,,,Cronhardt & Sons,,,,a9719a47-adec-414d-b9bc-cc951106d1cf
Curtiss-Wright Flying Service. Photo Division,,,,,Curtiss-Wright Flying Service,,Photo Division,,e98e4aeb-a7e4-4a5a-99ea-97abca1374c2
Curzon Studios,"Location information: Richmond, Surrey, England|basic_html|Location information: Richmond, Surrey, England",,,,Curzon Studios,,,,b48e4f7d-9b5d-41f8-a653-bc0c5f916d5c
d'Arsee Studio,"Location information: Lancaster, PA|basic_html|Location information: Lancaster, PA",,,,d'Arsee Studio,,,,b75da41b-d9bd-401c-b0e4-a5f459729109
David Dunlap Observatory,,http://viaf.org/viaf/139500063|||viaf|http://id.loc.gov/authorities/names/n90617792|||lcnaf,,,David Dunlap Observatory,,,,87b36e81-b145-4f4e-b669-9e151690c08c
DeLamater & Son,"Location information: Hartford, CT|basic_html|Location information: Hartford, CT",,,,DeLamater & Son,,,,6f745c87-d992-4389-9904-a28fabb5d9ec
Discovery (Spacecraft),,http://viaf.org/viaf/175764788|||viaf|http://id.loc.gov/authorities/names/no89003749|||lcnaf,,,Discovery (Spacecraft),,,,c69fd7a5-5cef-4c8c-8c89-2a1a6611ab04
Documentary Company,,http://viaf.org/viaf/158370437|||viaf|http://id.loc.gov/authorities/names/n87843041|||lcnaf,,,Documentary Company,,,,4d8fe222-cfcb-4c3b-8405-c12d57cb0c5a
Du Mont Television Network,,http://viaf.org/viaf/123248601|||viaf|http://id.loc.gov/authorities/names/n87843049|||lcnaf,,,Du Mont Television Network,,,,78885295-d360-4aef-9737-3f8cc40ba124
E. Sachser & Co.,,,,,E. Sachser & Co.,,,,ac7ac693-2032-4bc5-809e-ebf89f1e7805
"E.G. Williams & Bro. (New York, N.Y.)",,http://id.loc.gov/authorities/names/no2009086768|||lcnaf|http://viaf.org/viaf/145813325|||viaf,,,"E.G. Williams & Bro. (New York, N.Y.)",,,,4f37289e-d38f-468d-b237-fa966bd7a7d9
Edwyn Portrait,,,,,Edwyn Portrait,,,,80f2e5a4-e945-4249-89ea-de5e7ca6be2c
Elliott & Fry,"Location information: London, England|basic_html|Location information: London, England",http://viaf.org/viaf/121043409|||viaf|http://id.loc.gov/authorities/names/n2005054833|||lcnaf,,,Elliott & Fry,,,,0edd9ba3-7cc1-4235-9871-1959b32ac385
"Enell, Inc.","Location information: Jamaica, NY|basic_html|Location information: Jamaica, NY",,,,"Enell, Inc.",,,,f04d96b7-6a3f-4de1-afb4-4121ebe5de62
Eniwetok Marine Biological Laboratory,,http://viaf.org/viaf/152468730|||viaf|http://id.loc.gov/authorities/names/n82114255|||lcnaf,,,Eniwetok Marine Biological Laboratory,,,,356f9d17-8ec6-40ac-b801-1756eb0bd4a8
Enoch Pratt Free Library,,http://viaf.org/viaf/143982550|||viaf|http://id.loc.gov/authorities/names/n50040216|||lcnaf,,,Enoch Pratt Free Library,,,,56abdca4-77d2-4830-a8af-e85d1b3ae8fd
Esquire Studios,Location information: New York|basic_html|Location information: New York,,,,Esquire Studios,,,,e512a756-42e8-4f95-b595-54014e5da122
Evergreen House (Johns Hopkins University),,http://viaf.org/viaf/155243048|||viaf|http://id.loc.gov/authorities/names/nr2004020383|||lcnaf,,,Evergreen House (Johns Hopkins University),,,,14e7932b-d047-4bd5-a896-483517f3f17a
"Exposition Press, Inc.",,,,,"Exposition Press, Inc.",,,,f8728b06-bc49-4021-b783-dc87d93294a3
"F. Gutekunst, Photographers (Philadelphia, Pa.)",,http://viaf.org/viaf/156116143|||viaf|http://id.loc.gov/authorities/names/n98020916|||lcnaf,,,"F. Gutekunst, Photographers (Philadelphia, Pa.)",,,,7acdc8a5-e1c4-4695-ac9b-fc82ce07c033
F. Michelm & George Leafe,,,,,F. Michelm & George Leafe,,,,59c753dd-5566-4f64-a844-5ff5d1dae5f9
Fans-Dementi Studio,,,,,Fans-Dementi Studio,,,,6731c095-0ac6-486d-8c26-063d26e2e73b
Fighting American Nationalists,,http://viaf.org/viaf/148194063|||viaf|http://id.loc.gov/authorities/names/nr93020129|||lcnaf,,,Fighting American Nationalists,,,,15f11144-6421-48c1-a55b-470b658c4c7a
Finlay and Conn,,,,,Finlay and Conn,,,,e13fce80-c8c1-4bb6-af21-240848be56a6
Fletcher School of Law and Diplomacy,,http://viaf.org/viaf/128137354|||viaf|http://id.loc.gov/authorities/names/n82076360|||lcnaf,,,Fletcher School of Law and Diplomacy,,,,80de8f7c-2466-472d-aa6c-9cf367d0cd57
Folkemer Photo Service,,,,,Folkemer Photo Service,,,,acaea146-b445-457e-93d5-604bfbc179b3
Ford Foundation,,http://viaf.org/viaf/131336252|||viaf|http://id.loc.gov/authorities/names/n79066088|||lcnaf,,,Ford Foundation,,,,ce2f7017-5e57-4e8e-8d8e-79535185eb87
"Fotographics of Elyria, Inc.",Location information: Ohio|basic_html|Location information: Ohio,,,,"Fotographics of Elyria, Inc.",,,,8e276ac9-64b5-4c1c-a299-e34f1709e437
Frank Associates,,,,,Frank Associates,,,,2847a49c-b0cc-41b0-964f-2c9a59d04d65
"Frederick Douglass High School (Baltimore, Md.)",,http://viaf.org/viaf/139950920|||viaf|http://id.loc.gov/authorities/names/no2009104320|||lcnaf,,,"Frederick Douglass High School (Baltimore, Md.)",,,,86043dcd-e824-4f87-8337-f8a527f7dade
Frick Art Reference Library,,http://viaf.org/viaf/123077421|||viaf|http://id.loc.gov/authorities/names/n83192952|||lcnaf,,,Frick Art Reference Library,,,,649c642d-40b3-4863-909c-3f0256de8e58
Fund for Adult Education (U.S.),,http://viaf.org/viaf/149920363|||viaf|http://id.loc.gov/authorities/names/n83029562|||lcnaf,,,Fund for Adult Education (U.S.),,,,4a34dfb6-ee41-4e83-8890-652f969443ab
"Fund for Educational Excellence (Baltimore, Md.)",,http://viaf.org/viaf/137342534|||viaf|http://id.loc.gov/authorities/names/n91080292|||lcnaf,,,"Fund for Educational Excellence (Baltimore, Md.)",,,,9dd8d577-c2a6-47c3-9483-6bda1521d1e1
FUSE (Artificial satellite),,http://viaf.org/viaf/158644195|||viaf|http://id.loc.gov/authorities/names/no2006100156|||lcnaf,,,FUSE (Artificial satellite),,,,947c5943-457e-4a53-8346-e3d16b850790
George Jervas Photo Studio,"Location information: New York City, NY|basic_html|Location information: New York City, NY",,,,George Jervas Photo Studio,,,,4d4f827f-3ec5-4464-9842-def6a00dd933
George Peabody Library,,http://viaf.org/viaf/143435344|||viaf|http://id.loc.gov/authorities/names/no2006070945|||lcnaf,,,George Peabody Library,,,,0e29bb12-95b9-461c-b457-5af6de3d3980
"George Roberts, Inc.",,,,,"George Roberts, Inc.",,,,fcec07d3-21fd-42ae-9e95-7c5788acdd4c
Gilbert & Bacon,"Location information: Philadelphia, PA|basic_html|Location information: Philadelphia, PA",http://viaf.org/viaf/130582664|||viaf|http://id.loc.gov/authorities/names/nr95007356|||lcnaf,,,Gilbert & Bacon,,,,a7e10923-3c98-48e9-aba8-4129ec3a1c92
Gilbert Studios,"Location information: Philadelphia, PA|basic_html|Location information: Philadelphia, PA",,,,Gilbert Studios,,,,577a5063-db32-4672-bb95-99cbac55bf61
Girl Scouts of the United States of America,,http://viaf.org/viaf/133226330|||viaf|http://id.loc.gov/authorities/names/n79123998|||lcnaf,,,Girl Scouts of the United States of America,,,,3ec31d40-fff4-4e11-b3e5-6721a4769021
Goddard Institute for Space Studies,,http://viaf.org/viaf/124306687|||viaf|http://id.loc.gov/authorities/names/n50067309|||lcnaf,,,Goddard Institute for Space Studies,,,,3d9020a5-265d-4472-b3a0-9381c752c26f
Goddard Space Flight Center,,http://viaf.org/viaf/138085257|||viaf|http://id.loc.gov/authorities/names/n80044740|||lcnaf,,,Goddard Space Flight Center,,,,08723a2d-9483-4185-a741-061117ba79e5
Goucher College,,http://viaf.org/viaf/158904642|||viaf|http://id.loc.gov/authorities/names/n50071767|||lcnaf,,,Goucher College,,,,e6395fca-ad50-4b5c-b6f8-124e2394c95b
Great Britain. Hydrographic Department,,http://viaf.org/viaf/151192039|||viaf|http://id.loc.gov/authorities/names/n79043906|||lcnaf,,,Great Britain,,Hydrographic Department,,72e2090a-036d-49b8-a693-895622b2a2e6
"Greater Baltimore Committee, Inc.",,http://viaf.org/viaf/263835449|||viaf|http://id.loc.gov/authorities/names/n87860665|||lcnaf,,,"Greater Baltimore Committee, Inc.",,,,8916cc66-29b5-43f3-9b6d-d1f609b380b2
Greater Homewood Community Corporation,,http://viaf.org/viaf/151608031|||viaf|http://id.loc.gov/authorities/names/no2002095195|||lcnaf,,,Greater Homewood Community Corporation,,,,f9fc0c0e-d5a3-4b35-ae33-1ec9efa6f325
Greenbrier Photography,,,,,Greenbrier Photography,,,,b7ecd7fa-70fc-4608-aaeb-a0a62eedb7e4
Greystone,Location information: New York|basic_html|Location information: New York,,,,Greystone,,,,67355eaf-c505-4d24-84b6-da7e34e0b4c7
Greystone Studios Inc.,"Location information: New York City, NY|basic_html|Location information: New York City, NY",,,,Greystone Studios Inc.,,,,e085365d-d2b8-4424-86d6-7287276a72bf
Greystone-Stoller,Location information: New York|basic_html|Location information: New York,,,,Greystone-Stoller,,,,e6b4c643-3869-4354-bed2-7524062394eb
Greystone. Central News,Location information: New York|basic_html|Location information: New York,,,,Greystone,,Central News,,629fc8c6-7487-488e-9288-cac0ee37fc43
